location,climate_zone,climate_description,avg_annual_temp,avg_summer_temp,avg_winter_temp,avg_humidity,heating_degree_days,cooling_degree_days,solar_radiation_kwh_m2,rainfall_mm
City_1_0,1,Hot-Humid,31.4901424590337,34.72347139765763,26.295377076201383,90.23029856408026,53.169325055332806,3953.172608610164,1258.0836121681994,1759.1170623948833
City_1_1,1,Hot-Humid,34.737638446522176,36.53486945830582,24.061051228130097,80.42560043585965,7.316461437507542,3906.854049285949,1504.2422429595376,1144.561576938028
City_1_2,1,Hot-Humid,24.8252465024609,33.875424941518055,22.974337759331153,78.14247332595274,-81.60481510424222,3717.539259732942,1656.0699842170359,1613.3167305074244
City_1_3,1,Hot-Humid,30.20258461406377,32.15050362757309,23.911234550949636,76.10922589709867,-130.19871548446056,4075.1396036691344,1265.0515929852795,1907.9939670559997
City_1_4,1,Hot-Humid,28.198083930243584,34.41661250041345,23.796586775541208,93.52278184508938,97.30055505241322,3788.45781420882,1234.3885211152183,1836.7767237418077
City_1_5,1,Hot-Humid,32.46763473630957,32.558312700057954,25.41772719000951,55.403298761202244,-165.6372097796861,4039.3722471738247,2169.5846277645587,1595.2390820500061
City_1_6,1,Hot-Humid,32.21539973998623,35.34273656237994,24.768703435223518,71.98896304410711,-195.7043980734855,3856.0311583210582,2028.7375091519293,842.1559880484607
City_1_7,1,Hot-Humid,31.030854868705383,31.47391968927453,25.64816793878959,71.14917719583684,-35.38440006119174,4122.3352577681735,1205.5221171236024,1667.8305712187014
City_1_8,1,Hot-Humid,33.092998567487854,36.8625602382324,23.321564953554724,71.90787624148786,166.2526862807128,4195.109025424472,1530.898024852649,314.40503051484257
City_1_9,1,Hot-Humid,26.680995077981915,32.60758675183866,26.625051644788396,88.56240028570824,85.59797568393323,4200.706579578405,1319.5942459383018,1483.840617001391
City_1_10,1,Hot-Humid,31.084186816525243,38.07607313293194,24.928347921780098,90.64643655814007,-423.94902081794885,4164.380500875045,1225.4191267440951,394.204568587948
City_1_11,1,Hot-Humid,30.261141204714512,34.401985299068265,25.183521553071003,55.124310853991076,56.06562243249761,4071.422514302349,1610.3829230356298,1559.9920493774875
City_1_12,1,Hot-Humid,27.574519191320437,33.99648591283093,26.83080423540415,78.28751109659684,-5.952040753407758,4102.653486622671,2092.558998489978,1170.8160354481713
City_1_13,1,Hot-Humid,27.893840718367944,34.344675706804466,24.215783693735684,60.364850518678814,159.22405541291522,4052.211054435978,1206.9521305311907,1119.3451446396184
City_1_14,1,Hot-Humid,25.753887773848756,34.15870935446928,24.314570966946462,66.9772273077838,67.74285766679817,4080.8101713629076,1718.790621743366,1465.4341260113201
City_1_15,1,Hot-Humid,30.772651172168292,34.85110816846767,21.162457569401916,74.73486124550783,112.04604198820529,4492.648422497057,1251.4787512499893,701.5636356259006
City_1_16,1,Hot-Humid,29.422917105656634,35.60309468466723,24.930576460589513,63.31321962380468,328.5645629030041,4150.386606537355,1437.6375439923997,1510.7894275013473
